Days,Prices
1,338.06
2,338.16
3,338.24
4,338.76
5,339.16
6,335.45
7,334.46
8,332.45
9,335.78
10,331.56
11,334.06
12,339.16
13,335.24
14,333.76
15,332.26
16,331.45
17,330.56
18,332.45
19,333.78
20,334.56
21,335.06
22,330.06
23,331.24
24,333.66
25,335.26
26,337.45
27,339.56
28,334.45
29,333.78
30,336.56
31,334.06
32,331.06
33,331.25
34,333.64
35,335.36
36,337.45
37,338.56
38,334.55
39,334.78
40,336.57
41,335.06
42,330.06
43,331.24
44,333.06
45,335.26
46,337.45
47,339.56
48,334.45
49,333.78
50,336.56
